"Step","4l4h32-agtt-shortest-path (path) - train/loss","4l4h32-agtt-shortest-path (path) - train/loss__MIN","4l4h32-agtt-shortest-path (path) - train/loss__MAX","4l4h32-agtt-shortest-path (path) - val/loss","4l4h32-agtt-shortest-path (path) - val/loss__MIN","4l4h32-agtt-shortest-path (path) - val/loss__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/loss","5l64-mpnn-shortest-path (er+sbm+path) - train/loss__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/loss__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/loss","5l64-mpnn-shortest-path (er+sbm+path) - val/loss__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/loss__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/loss","4l4h32-gps-shortest-path (er+sbm+path) - train/loss__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/loss__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/loss","4l4h32-gps-shortest-path (er+sbm+path) - val/loss__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/loss__MAX","2l4h16-ibtt-shortest-path (path) - train/loss","2l4h16-ibtt-shortest-path (path) - train/loss__MIN","2l4h16-ibtt-shortest-path (path) - train/loss__MAX","2l4h16-ibtt-shortest-path (path) - val/loss","2l4h16-ibtt-shortest-path (path) - val/loss__MIN","2l4h16-ibtt-shortest-path (path) - val/loss__MAX"
"26","2.3938593566417694","2.3938593566417694","2.3938593566417694","2.440484493970871","2.440484493970871","2.440484493970871","0.7667894760767618","0.7667894760767618","0.7667894760767618","0.7658204883337021","0.7658204883337021","0.7658204883337021","0.6426749005913734","0.6426749005913734","0.6426749005913734","0.740973868407309","0.740973868407309","0.740973868407309","1.668079431851705","1.668079431851705","1.668079431851705","1.7726225486168494","1.7726225486168494","1.7726225486168494"
"27","2.3736165165901184","2.3736165165901184","2.3736165165901184","2.4178505539894104","2.4178505539894104","2.4178505539894104","0.7510980541507403","0.7510980541507403","0.7510980541507403","0.7110603929807743","0.7110603929807743","0.7110603929807743","0.6288451502720515","0.6288451502720515","0.6288451502720515","0.7076281322321544","0.7076281322321544","0.7076281322321544","1.6498653888702393","1.6498653888702393","1.6498653888702393","1.756143414057218","1.756143414057218","1.756143414057218"
"28","2.374229848384857","2.374229848384857","2.374229848384857","2.4039771258831024","2.4039771258831024","2.4039771258831024","0.730021762351195","0.730021762351195","0.730021762351195","0.7304586755732695","0.7304586755732695","0.7304586755732695","0.6164775863289833","0.6164775863289833","0.6164775863289833","0.6640632562339306","0.6640632562339306","0.6640632562339306","1.6316638628641764","1.6316638628641764","1.6316638628641764","1.7387546300888062","1.7387546300888062","1.7387546300888062"
"29","2.378897964954376","2.378897964954376","2.378897964954376","2.4082924723625183","2.4082924723625183","2.4082924723625183","0.7172013521194458","0.7172013521194458","0.7172013521194458","0.7769247815012932","0.7769247815012932","0.7769247815012932","0.6021696130434672","0.6021696130434672","0.6021696130434672","0.6662960194128876","0.6662960194128876","0.6662960194128876","1.6221213499704996","1.6221213499704996","1.6221213499704996","1.7297704494916475","1.7297704494916475","1.7297704494916475"
"30","2.351901412010193","2.351901412010193","2.351901412010193","2.380425125360489","2.380425125360489","2.380425125360489","0.7278875807921091","0.7278875807921091","0.7278875807921091","0.6679313275963068","0.6679313275963068","0.6679313275963068","0.6044073266287645","0.6044073266287645","0.6044073266287645","0.6937110340222716","0.6937110340222716","0.6937110340222716","1.5983826398849488","1.5983826398849488","1.5983826398849488","1.7208660290791438","1.7208660290791438","1.7208660290791438"
"31","2.337159186601639","2.337159186601639","2.337159186601639","2.345483511686325","2.345483511686325","2.345483511686325","0.685954841474692","0.685954841474692","0.685954841474692","0.7185056948413452","0.7185056948413452","0.7185056948413452","0.6040762290358543","0.6040762290358543","0.6040762290358543","0.6694005924897889","0.6694005924897889","0.6694005924897889","1.5989652633666993","1.5989652633666993","1.5989652633666993","1.7079164339945867","1.7079164339945867","1.7079164339945867"
"32","2.3168525397777557","2.3168525397777557","2.3168525397777557","2.3384897708892822","2.3384897708892822","2.3384897708892822","0.6738568097352982","0.6738568097352982","0.6738568097352982","0.8703637346625328","0.8703637346625328","0.8703637346625328","0.59663633381327","0.59663633381327","0.59663633381327","0.6514152049397429","0.6514152049397429","0.6514152049397429","1.5777584632237753","1.5777584632237753","1.5777584632237753","1.7023689930255597","1.7023689930255597","1.7023689930255597"
"33","2.3021040856838226","2.3021040856838226","2.3021040856838226","2.3318112194538116","2.3318112194538116","2.3318112194538116","0.690346896648407","0.690346896648407","0.690346896648407","0.6658847307165464","0.6658847307165464","0.6658847307165464","0.5859770762423674","0.5859770762423674","0.5859770762423674","0.6386946481652558","0.6386946481652558","0.6386946481652558","1.5559103965759278","1.5559103965759278","1.5559103965759278","1.6812159740007842","1.6812159740007842","1.6812159740007842"
"34","2.275816410779953","2.275816410779953","2.275816410779953","2.317056179046631","2.317056179046631","2.317056179046631","0.6724607422947884","0.6724607422947884","0.6724607422947884","0.6950179984172186","0.6950179984172186","0.6950179984172186","0.585352711379528","0.585352711379528","0.585352711379528","0.6474140364831934","0.6474140364831934","0.6474140364831934","1.5453139543533325","1.5453139543533325","1.5453139543533325","1.676789797269381","1.676789797269381","1.676789797269381"
"35","2.2629564106464386","2.2629564106464386","2.2629564106464386","2.2848208248615265","2.2848208248615265","2.2848208248615265","0.6469189922014872","0.6469189922014872","0.6469189922014872","0.622114360332489","0.622114360332489","0.622114360332489","0.5834183494249979","0.5834183494249979","0.5834183494249979","0.6647584713064134","0.6647584713064134","0.6647584713064134","1.5354579210281372","1.5354579210281372","1.5354579210281372","1.6662540344091563","1.6662540344091563","1.6662540344091563"
