"Step","4l4h32-agtt-shortest-path (path) - train/acc","4l4h32-agtt-shortest-path (path) - train/acc__MIN","4l4h32-agtt-shortest-path (path) - train/acc__MAX","4l4h32-agtt-shortest-path (path) - val/acc","4l4h32-agtt-shortest-path (path) - val/acc__MIN","4l4h32-agtt-shortest-path (path) - val/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/acc","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/acc","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/acc","4l4h32-gps-shortest-path (er+sbm+path) - train/acc__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/acc__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/acc","4l4h32-gps-shortest-path (er+sbm+path) - val/acc__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/acc__MAX","2l4h16-ibtt-shortest-path (path) - train/acc","2l4h16-ibtt-shortest-path (path) - train/acc__MIN","2l4h16-ibtt-shortest-path (path) - train/acc__MAX","2l4h16-ibtt-shortest-path (path) - val/acc","2l4h16-ibtt-shortest-path (path) - val/acc__MIN","2l4h16-ibtt-shortest-path (path) - val/acc__MAX"
"43","0.2919921875","0.2919921875","0.2919921875","0.3058894230769231","0.3058894230769231","0.3058894230769231","0.7693803988821138","0.7693803988821138","0.7693803988821138","0.756034655448718","0.756034655448718","0.756034655448718","0.7828458460365854","0.7828458460365854","0.7828458460365854","0.7457181490384616","0.7457181490384616","0.7457181490384616","0.5116815476190476","0.5116815476190476","0.5116815476190476","0.4206730769230769","0.4206730769230769","0.4206730769230769"
"44","0.31678185096153844","0.31678185096153844","0.31678185096153844","0.3489332932692308","0.3489332932692308","0.3489332932692308","0.7688087525406505","0.7688087525406505","0.7688087525406505","0.7710336538461539","0.7710336538461539","0.7710336538461539","0.7867123983739838","0.7867123983739838","0.7867123983739838","0.7580629006410255","0.7580629006410255","0.7580629006410255","0.5078869047619048","0.5078869047619048","0.5078869047619048","0.40084134615384615","0.40084134615384615","0.40084134615384615"
"45","0.3329326923076923","0.3329326923076923","0.3329326923076923","0.37552584134615385","0.37552584134615385","0.37552584134615385","0.766283981199187","0.766283981199187","0.766283981199187","0.7664513221153846","0.7664513221153846","0.7664513221153846","0.786791793699187","0.786791793699187","0.786791793699187","0.7483223157051282","0.7483223157051282","0.7483223157051282","0.5018601190476191","0.5018601190476191","0.5018601190476191","0.43209134615384615","0.43209134615384615","0.43209134615384615"
"46","0.3457782451923077","0.3457782451923077","0.3457782451923077","0.3722956730769231","0.3722956730769231","0.3722956730769231","0.7739773882113821","0.7739773882113821","0.7739773882113821","0.770683092948718","0.770683092948718","0.770683092948718","0.7933022103658537","0.7933022103658537","0.7933022103658537","0.7580879407051282","0.7580879407051282","0.7580879407051282","0.5100446428571429","0.5100446428571429","0.5100446428571429","0.4609375","0.4609375","0.4609375"
"47","0.39107572115384615","0.39107572115384615","0.39107572115384615","0.3985877403846154","0.3985877403846154","0.3985877403846154","0.761083587398374","0.761083587398374","0.761083587398374","0.7557341746794872","0.7557341746794872","0.7557341746794872","0.8041634908536586","0.8041634908536586","0.8041634908536586","0.754131610576923","0.754131610576923","0.754131610576923","0.5074404761904762","0.5074404761904762","0.5074404761904762","0.4639423076923077","0.4639423076923077","0.4639423076923077"
"48","0.3850661057692308","0.3850661057692308","0.3850661057692308","0.39903846153846156","0.39903846153846156","0.39903846153846156","0.7727150025406505","0.7727150025406505","0.7727150025406505","0.7664513221153846","0.7664513221153846","0.7664513221153846","0.7942787728658537","0.7942787728658537","0.7942787728658537","0.7382562099358975","0.7382562099358975","0.7382562099358975","0.5340029761904762","0.5340029761904762","0.5340029761904762","0.4441105769230769","0.4441105769230769","0.4441105769230769"
"49","0.42735877403846156","0.42735877403846156","0.42735877403846156","0.43021334134615385","0.43021334134615385","0.43021334134615385","0.7724688770325203","0.7724688770325203","0.7724688770325203","0.7674278846153846","0.7674278846153846","0.7674278846153846","0.8018451473577235","0.8018451473577235","0.8018451473577235","0.7655248397435898","0.7655248397435898","0.7655248397435898","0.5144345238095238","0.5144345238095238","0.5144345238095238","0.47415865384615385","0.47415865384615385","0.47415865384615385"
"50","0.4180438701923077","0.4180438701923077","0.4180438701923077","0.4211237980769231","0.4211237980769231","0.4211237980769231","0.7841479293699187","0.7841479293699187","0.7841479293699187","0.7723106971153846","0.7723106971153846","0.7723106971153846","0.7990424923780487","0.7990424923780487","0.7990424923780487","0.7548327323717948","0.7548327323717948","0.7548327323717948","0.5430803571428572","0.5430803571428572","0.5430803571428572","0.4873798076923077","0.4873798076923077","0.4873798076923077"
"51","0.4228515625","0.4228515625","0.4228515625","0.447265625","0.447265625","0.447265625","0.7773516895325203","0.7773516895325203","0.7773516895325203","0.7749148637820512","0.7749148637820512","0.7749148637820512","0.8075457317073171","0.8075457317073171","0.8075457317073171","0.7593649839743589","0.7593649839743589","0.7593649839743589","0.5491815476190476","0.5491815476190476","0.5491815476190476","0.47596153846153844","0.47596153846153844","0.47596153846153844"
"52","0.44576322115384615","0.44576322115384615","0.44576322115384615","0.4588341346153846","0.4588341346153846","0.4588341346153846","0.7749936483739838","0.7749936483739838","0.7749936483739838","0.762520032051282","0.762520032051282","0.762520032051282","0.8111661585365854","0.8111661585365854","0.8111661585365854","0.7632461939102564","0.7632461939102564","0.7632461939102564","0.5630952380952381","0.5630952380952381","0.5630952380952381","0.47475961538461536","0.47475961538461536","0.47475961538461536"
"53","0.4610126201923077","0.4610126201923077","0.4610126201923077","0.4327674278846154","0.4327674278846154","0.4327674278846154","0.7792254192073171","0.7792254192073171","0.7792254192073171","0.773262219551282","0.773262219551282","0.773262219551282","0.8273548653455284","0.8273548653455284","0.8273548653455284","0.7745643028846154","0.7745643028846154","0.7745643028846154","0.5403273809523809","0.5403273809523809","0.5403273809523809","0.48377403846153844","0.48377403846153844","0.48377403846153844"
"54","0.46251502403846156","0.46251502403846156","0.46251502403846156","0.4944411057692308","0.4944411057692308","0.4944411057692308","0.7805275025406505","0.7805275025406505","0.7805275025406505","0.7739383012820512","0.7739383012820512","0.7739383012820512","0.8220274390243901","0.8220274390243901","0.8220274390243901","0.7577123397435898","0.7577123397435898","0.7577123397435898","0.5721726190476191","0.5721726190476191","0.5721726190476191","0.5","0.5","0.5"
"55","0.4676231971153846","0.4676231971153846","0.4676231971153846","0.4969200721153846","0.4969200721153846","0.4969200721153846","0.7782488567073171","0.7782488567073171","0.7782488567073171","0.780098157051282","0.780098157051282","0.780098157051282","0.8269102515243901","0.8269102515243901","0.8269102515243901","0.7616436298076922","0.7616436298076922","0.7616436298076922","0.5688988095238094","0.5688988095238094","0.5688988095238094","0.4933894230769231","0.4933894230769231","0.4933894230769231"
