"Step","4l4h32-agtt-shortest-path (path) - train/f1","4l4h32-agtt-shortest-path (path) - train/f1__MIN","4l4h32-agtt-shortest-path (path) - train/f1__MAX","4l4h32-agtt-shortest-path (path) - val/f1","4l4h32-agtt-shortest-path (path) - val/f1__MIN","4l4h32-agtt-shortest-path (path) - val/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/f1","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/f1","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/f1","4l4h32-gps-shortest-path (er+sbm+path) - train/f1__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/f1__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/f1","4l4h32-gps-shortest-path (er+sbm+path) - val/f1__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/f1__MAX","2l4h16-ibtt-shortest-path (path) - train/f1","2l4h16-ibtt-shortest-path (path) - train/f1__MIN","2l4h16-ibtt-shortest-path (path) - train/f1__MAX","2l4h16-ibtt-shortest-path (path) - val/f1","2l4h16-ibtt-shortest-path (path) - val/f1__MIN","2l4h16-ibtt-shortest-path (path) - val/f1__MAX"
"21","0.03806867401324728","0.03806867401324728","0.03806867401324728","0.03405254448645148","0.03405254448645148","0.03405254448645148","0.27336496409213046","0.27336496409213046","0.27336496409213046","0.44097842706135704","0.44097842706135704","0.44097842706135704","0.2827483322774657","0.2827483322774657","0.2827483322774657","0.4417713144984064","0.4417713144984064","0.4417713144984064","0.2943669744230308","0.2943669744230308","0.2943669744230308","0.23828252241539916","0.23828252241539916","0.23828252241539916"
"22","0.043015706276955515","0.043015706276955515","0.043015706276955515","0.028275400637482354","0.028275400637482354","0.028275400637482354","0.2781622035087843","0.2781622035087843","0.2781622035087843","0.4372657675149864","0.4372657675149864","0.4372657675149864","0.2900822361088367","0.2900822361088367","0.2900822361088367","0.4685342043737755","0.4685342043737755","0.4685342043737755","0.3161758749259577","0.3161758749259577","0.3161758749259577","0.24322456712649274","0.24322456712649274","0.24322456712649274"
"23","0.04783953138721114","0.04783953138721114","0.04783953138721114","0.03243287982152259","0.03243287982152259","0.03243287982152259","0.29800444038116036","0.29800444038116036","0.29800444038116036","0.44329696444490585","0.44329696444490585","0.44329696444490585","0.29532110484869994","0.29532110484869994","0.29532110484869994","0.4619640569979359","0.4619640569979359","0.4619640569979359","0.29294984915551303","0.29294984915551303","0.29294984915551303","0.26099511774883294","0.26099511774883294","0.26099511774883294"
"24","0.043937473561479604","0.043937473561479604","0.043937473561479604","0.03188503762374312","0.03188503762374312","0.03188503762374312","0.2943857692760819","0.2943857692760819","0.2943857692760819","0.4070687369547133","0.4070687369547133","0.4070687369547133","0.3087981501299666","0.3087981501299666","0.3087981501299666","0.46606999492689183","0.46606999492689183","0.46606999492689183","0.3307279462814558","0.3307279462814558","0.3307279462814558","0.23624686830295222","0.23624686830295222","0.23624686830295222"
"25","0.046244918776837216","0.046244918776837216","0.046244918776837216","0.04271346224594736","0.04271346224594736","0.04271346224594736","0.29012484113799103","0.29012484113799103","0.29012484113799103","0.4209706332819761","0.4209706332819761","0.4209706332819761","0.30245896061283073","0.30245896061283073","0.30245896061283073","0.44248631729076826","0.44248631729076826","0.44248631729076826","0.30539888239598206","0.30539888239598206","0.30539888239598206","0.2454269655603342","0.2454269655603342","0.2454269655603342"
"26","0.05064603654325837","0.05064603654325837","0.05064603654325837","0.055874848982386593","0.055874848982386593","0.055874848982386593","0.3043563871400337","0.3043563871400337","0.3043563871400337","0.4548112541016731","0.4548112541016731","0.4548112541016731","0.29967874687381113","0.29967874687381113","0.29967874687381113","0.4257438524462991","0.4257438524462991","0.4257438524462991","0.3305732592362198","0.3305732592362198","0.3305732592362198","0.23902732726846396","0.23902732726846396","0.23902732726846396"
"27","0.07186319621427537","0.07186319621427537","0.07186319621427537","0.06127615386521168","0.06127615386521168","0.06127615386521168","0.3003042055512534","0.3003042055512534","0.3003042055512534","0.4543580186498018","0.4543580186498018","0.4543580186498018","0.30406787998010815","0.30406787998010815","0.30406787998010815","0.4600463707268488","0.4600463707268488","0.4600463707268488","0.33237332129585645","0.33237332129585645","0.33237332129585645","0.2584878053848015","0.2584878053848015","0.2584878053848015"
"28","0.07621866026380694","0.07621866026380694","0.07621866026380694","0.07023913436770496","0.07023913436770496","0.07023913436770496","0.3124788700697979","0.3124788700697979","0.3124788700697979","0.43894866263425275","0.43894866263425275","0.43894866263425275","0.300746565200427","0.300746565200427","0.300746565200427","0.45132603204150046","0.45132603204150046","0.45132603204150046","0.31826095834424906","0.31826095834424906","0.31826095834424906","0.2656524410219551","0.2656524410219551","0.2656524410219551"
"29","0.06360495294160261","0.06360495294160261","0.06360495294160261","0.06937818451756703","0.06937818451756703","0.06937818451756703","0.3050876457449142","0.3050876457449142","0.3050876457449142","0.44430106760053684","0.44430106760053684","0.44430106760053684","0.29484041951442114","0.29484041951442114","0.29484041951442114","0.4584930611384473","0.4584930611384473","0.4584930611384473","0.3486851828206705","0.3486851828206705","0.3486851828206705","0.26957295769185446","0.26957295769185446","0.26957295769185446"
"30","0.08291730873498962","0.08291730873498962","0.08291730873498962","0.07212135631805398","0.07212135631805398","0.07212135631805398","0.31211616551062094","0.31211616551062094","0.31211616551062094","0.4644068998422502","0.4644068998422502","0.4644068998422502","0.3012700247008974","0.3012700247008974","0.3012700247008974","0.45807722133630274","0.45807722133630274","0.45807722133630274","0.3687205470851103","0.3687205470851103","0.3687205470851103","0.26798564775229916","0.26798564775229916","0.26798564775229916"
