"Step","5l64-mpnn-shortest-path (path) - train/acc","5l64-mpnn-shortest-path (path) - train/acc__MIN","5l64-mpnn-shortest-path (path) - train/acc__MAX","5l64-mpnn-shortest-path (path) - val/acc","5l64-mpnn-shortest-path (path) - val/acc__MIN","5l64-mpnn-shortest-path (path) - val/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/acc","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/acc","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MAX"
"52","0.7074068509615384","0.7074068509615384","0.7074068509615384","0.6802884615384616","0.6802884615384616","0.6802884615384616","0.7749936483739838","0.7749936483739838","0.7749936483739838","0.762520032051282","0.762520032051282","0.762520032051282"
"53","0.7066556490384616","0.7066556490384616","0.7066556490384616","0.6763822115384616","0.6763822115384616","0.6763822115384616","0.7792254192073171","0.7792254192073171","0.7792254192073171","0.773262219551282","0.773262219551282","0.773262219551282"
"54","0.7117638221153846","0.7117638221153846","0.7117638221153846","0.6754056490384616","0.6754056490384616","0.6754056490384616","0.7805275025406505","0.7805275025406505","0.7805275025406505","0.7739383012820512","0.7739383012820512","0.7739383012820512"
"55","0.7101862980769231","0.7101862980769231","0.7101862980769231","0.6822415865384616","0.6822415865384616","0.6822415865384616","0.7782488567073171","0.7782488567073171","0.7782488567073171","0.780098157051282","0.780098157051282","0.780098157051282"
"56","0.7092848557692308","0.7092848557692308","0.7092848557692308","0.6763822115384616","0.6763822115384616","0.6763822115384616","0.7917143038617885","0.7917143038617885","0.7917143038617885","0.778145032051282","0.778145032051282","0.778145032051282"
"57","0.7094350961538461","0.7094350961538461","0.7094350961538461","0.6763822115384616","0.6763822115384616","0.6763822115384616","0.7912299923780487","0.7912299923780487","0.7912299923780487","0.7833283253205128","0.7833283253205128","0.7833283253205128"
"58","0.7139423076923077","0.7139423076923077","0.7139423076923077","0.6783353365384616","0.6783353365384616","0.6783353365384616","0.7883003048780487","0.7883003048780487","0.7883003048780487","0.788837139423077","0.788837139423077","0.788837139423077"
"59","0.7116135817307692","0.7116135817307692","0.7116135817307692","0.6812650240384616","0.6812650240384616","0.6812650240384616","0.7909044715447154","0.7909044715447154","0.7909044715447154","0.788837139423077","0.788837139423077","0.788837139423077"
"60","0.7118389423076923","0.7118389423076923","0.7118389423076923","0.6851712740384616","0.6851712740384616","0.6851712740384616","0.7963509908536586","0.7963509908536586","0.7963509908536586","0.7969751602564102","0.7969751602564102","0.7969751602564102"
"61","0.7285907451923077","0.7285907451923077","0.7285907451923077","0.6900540865384616","0.6900540865384616","0.6900540865384616","0.8003842733739838","0.8003842733739838","0.8003842733739838","0.7872345753205128","0.7872345753205128","0.7872345753205128"
"62","0.7134164663461539","0.7134164663461539","0.7134164663461539","0.6881009615384616","0.6881009615384616","0.6881009615384616","0.8015196265243901","0.8015196265243901","0.8015196265243901","0.7869090544871794","0.7869090544871794","0.7869090544871794"
"63","0.7169471153846154","0.7169471153846154","0.7169471153846154","0.6851712740384616","0.6851712740384616","0.6851712740384616","0.7935880335365854","0.7935880335365854","0.7935880335365854","0.7914413060897436","0.7914413060897436","0.7914413060897436"
"64","0.7279897836538461","0.7279897836538461","0.7279897836538461","0.6920072115384616","0.6920072115384616","0.6920072115384616","0.8011941056910569","0.8011941056910569","0.8011941056910569","0.7943709935897436","0.7943709935897436","0.7943709935897436"
"65","0.7278395432692308","0.7278395432692308","0.7278395432692308","0.6861478365384616","0.6861478365384616","0.6861478365384616","0.8088875127032521","0.8088875127032521","0.8088875127032521","0.7950220352564102","0.7950220352564102","0.7950220352564102"
"66","0.7122896634615384","0.7122896634615384","0.7122896634615384","0.6890775240384616","0.6890775240384616","0.6890775240384616","0.8064500762195123","0.8064500762195123","0.8064500762195123","0.792743389423077","0.792743389423077","0.792743389423077"
"67","0.7185997596153846","0.7185997596153846","0.7185997596153846","0.6832181490384616","0.6832181490384616","0.6832181490384616","0.8098640752032521","0.8098640752032521","0.8098640752032521","0.7930939503205128","0.7930939503205128","0.7930939503205128"
"68","0.7235576923076923","0.7235576923076923","0.7235576923076923","0.6910306490384616","0.6910306490384616","0.6910306490384616","0.8005430640243901","0.8005430640243901","0.8005430640243901","0.7999048477564102","0.7999048477564102","0.7999048477564102"
"69","0.7366286057692308","0.7366286057692308","0.7366286057692308","0.7012469951923077","0.7012469951923077","0.7012469951923077","0.8037585746951219","0.8037585746951219","0.8037585746951219","0.7959985977564102","0.7959985977564102","0.7959985977564102"
"70","0.7198016826923077","0.7198016826923077","0.7198016826923077","0.6971153846153846","0.6971153846153846","0.6971153846153846","0.8105945121951219","0.8105945121951219","0.8105945121951219","0.7999048477564102","0.7999048477564102","0.7999048477564102"
"71","0.7190504807692308","0.7190504807692308","0.7190504807692308","0.6971153846153846","0.6971153846153846","0.6971153846153846","0.8068946900406505","0.8068946900406505","0.8068946900406505","0.7979517227564102","0.7979517227564102","0.7979517227564102"
"72","0.7273137019230769","0.7273137019230769","0.7273137019230769","0.6932091346153846","0.6932091346153846","0.6932091346153846","0.8115710746951219","0.8115710746951219","0.8115710746951219","0.7930689102564102","0.7930689102564102","0.7930689102564102"
"73","0.7231820913461539","0.7231820913461539","0.7231820913461539","0.7051532451923077","0.7051532451923077","0.7051532451923077","0.8073790015243901","0.8073790015243901","0.8073790015243901","0.795673076923077","0.795673076923077","0.795673076923077"
"74","0.7312199519230769","0.7312199519230769","0.7312199519230769","0.6939603365384616","0.6939603365384616","0.6939603365384616","0.8046160442073171","0.8046160442073171","0.8046160442073171","0.8077423878205128","0.8077423878205128","0.8077423878205128"
"75","0.7366286057692308","0.7366286057692308","0.7366286057692308","0.6973407451923077","0.6973407451923077","0.6973407451923077","0.8101102007113821","0.8101102007113821","0.8101102007113821","0.7979517227564102","0.7979517227564102","0.7979517227564102"
"76","0.7267127403846154","0.7267127403846154","0.7267127403846154","0.7061298076923077","0.7061298076923077","0.7061298076923077","0.8105945121951219","0.8105945121951219","0.8105945121951219","0.7979517227564102","0.7979517227564102","0.7979517227564102"
"77","0.7352013221153846","0.7352013221153846","0.7352013221153846","0.7051532451923077","0.7051532451923077","0.7051532451923077","0.8077918572154471","0.8077918572154471","0.8077918572154471","0.8028595753205128","0.8028595753205128","0.8028595753205128"
"78","0.7318209134615384","0.7318209134615384","0.7318209134615384","0.7012469951923077","0.7012469951923077","0.7012469951923077","0.8077045223577235","0.8077045223577235","0.8077045223577235","0.8061147836538461","0.8061147836538461","0.8061147836538461"
"79","0.7301682692307692","0.7301682692307692","0.7301682692307692","0.7110126201923077","0.7110126201923077","0.7110126201923077","0.8094988567073171","0.8094988567073171","0.8094988567073171","0.797626201923077","0.797626201923077","0.797626201923077"
"80","0.7323467548076923","0.7323467548076923","0.7323467548076923","0.7071063701923077","0.7071063701923077","0.7071063701923077","0.8099434705284553","0.8099434705284553","0.8099434705284553","0.795673076923077","0.795673076923077","0.795673076923077"
"81","0.7385817307692308","0.7385817307692308","0.7385817307692308","0.7110126201923077","0.7110126201923077","0.7110126201923077","0.8089272103658537","0.8089272103658537","0.8089272103658537","0.7979767628205128","0.7979767628205128","0.7979767628205128"
"82","0.7307692307692308","0.7307692307692308","0.7307692307692308","0.7090594951923077","0.7090594951923077","0.7090594951923077","0.8182005843495935","0.8182005843495935","0.8182005843495935","0.7950220352564102","0.7950220352564102","0.7950220352564102"
"83","0.7394080528846154","0.7394080528846154","0.7394080528846154","0.7131911057692308","0.7131911057692308","0.7131911057692308","0.8138497205284553","0.8138497205284553","0.8138497205284553","0.7979517227564102","0.7979517227564102","0.7979517227564102"
"84","0.7379807692307692","0.7379807692307692","0.7379807692307692","0.7051532451923077","0.7051532451923077","0.7051532451923077","0.8132383765243901","0.8132383765243901","0.8132383765243901","0.7797225560897436","0.7797225560897436","0.7797225560897436"
"85","0.7409855769230769","0.7409855769230769","0.7409855769230769","0.6992938701923077","0.6992938701923077","0.6992938701923077","0.8060848577235772","0.8060848577235772","0.8060848577235772","0.7917918669871794","0.7917918669871794","0.7917918669871794"
"86","0.740234375","0.740234375","0.740234375","0.7041766826923077","0.7041766826923077","0.7041766826923077","0.8037665142276422","0.8037665142276422","0.8037665142276422","0.794696514423077","0.794696514423077","0.794696514423077"
